T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
6.8,9.7,3.7,1016.4,39.0,21.4,11.3,20.6,1.8333333333333333
15.0,18.7,7.1,1012.0,53.0,13.2,12.8,22.2,105.83333333333331
17.9,23.2,10.8,1004.2,34.0,10.8,10.6,22.2,117.58333333333331
16.0,22.3,10.4,1008.2,50.0,11.4,9.8,16.5,122.70833333333331
15.5,21.2,6.8,1007.3,61.0,17.5,26.3,51.9,111.95833333333331
7.1,9.9,4.9,1023.1,51.0,18.5,10.6,16.5,59.208333333333336
10.2,13.8,4.6,1021.8,59.0,19.3,8.7,16.5,77.20833333333333
19.0,25.0,15.3,1011.0,59.0,18.5,10.9,25.9,98.70833333333331
15.6,20.8,7.9,1000.0,55.0,17.9,17.2,29.4,123.70833333333331
11.1,15.0,7.7,1012.1,33.0,28.6,10.9,22.2,64.79166666666667
8.5,10.8,5.6,1010.0,61.0,13.2,13.9,24.1,52.333333333333336
9.8,13.2,5.5,1021.6,42.0,24.9,10.7,16.5,52.04166666666666
9.1,10.9,6.4,1020.1,87.0,3.9,6.5,13.0,128.33333333333334
7.6,9.4,6.9,1019.8,82.0,6.9,7.0,13.0,0.0
11.8,15.2,6.7,1023.8,59.0,12.1,10.4,20.6,23.20833333333333
11.9,14.1,8.3,1007.6,93.0,2.3,9.4,18.3,15.166666666666666
13.8,16.6,11.2,1002.6,63.0,19.6,16.5,29.4,21.25
16.1,23.1,11.1,987.2,39.0,29.9,21.7,42.4,81.83333333333333
14.8,20.2,10.5,1008.6,28.0,37.2,10.6,22.2,105.33333333333331
17.1,21.7,10.7,1006.9,44.0,19.3,17.8,33.5,117.75
13.5,16.2,7.4,1015.7,50.0,24.9,11.9,20.6,84.5
18.3,20.6,10.0,1006.3,48.0,17.9,23.2,35.2,46.91666666666666
15.6,22.6,11.5,1008.5,51.0,20.0,11.1,20.6,104.625
12.2,16.5,9.4,1013.1,30.0,15.8,13.0,20.6,110.875
7.8,11.5,5.8,1015.1,72.0,10.3,11.3,16.5,42.958333333333336
8.1,10.5,5.6,1012.0,57.0,22.5,13.9,22.2,0.0
18.5,22.8,13.4,1005.9,49.0,22.9,12.2,20.6,120.875
16.2,22.6,11.3,1001.3,53.0,20.8,14.4,35.2,79.91666666666667
16.3,21.2,11.2,1011.6,26.0,31.4,16.5,24.1,0.0
13.8,18.7,10.7,1002.3,62.0,17.2,10.4,14.8,94.75
14.7,19.7,10.6,1009.0,32.0,27.2,13.7,20.6,142.5
15.3,19.1,11.1,1013.1,49.0,29.9,10.0,16.5,133.375
14.3,20.4,10.7,1014.6,30.0,31.4,20.2,35.2,147.83333333333334
18.6,23.7,10.5,1015.2,29.0,31.4,9.8,22.2,158.29166666666666
20.3,24.8,14.4,1011.9,54.0,20.0,9.4,18.3,149.58333333333334
20.3,23.7,15.8,1014.2,73.0,14.6,10.7,20.6,101.5
22.4,27.8,17.1,1015.2,66.0,12.1,10.4,16.5,106.5
20.9,25.5,16.9,1012.8,66.0,17.7,16.7,27.8,128.125
19.7,23.4,16.9,1004.5,71.0,18.0,13.7,25.9,101.95833333333331
20.3,23.1,16.8,1002.3,92.0,3.7,5.9,9.4,98.41666666666669
22.7,26.5,19.2,1007.5,68.0,18.3,9.1,18.3,94.375
19.8,22.9,14.2,1021.6,68.0,19.3,10.0,16.5,107.625
22.0,26.6,18.5,1022.5,70.0,18.5,11.7,18.3,110.41666666666669
22.4,26.1,19.8,1022.8,63.0,20.8,13.7,20.6,95.83333333333331
22.2,27.2,17.9,1011.8,49.0,27.2,9.6,18.3,72.25
19.8,26.0,16.8,1010.6,60.0,19.3,10.6,16.5,38.66666666666666
17.7,23.3,14.9,1009.4,64.0,18.5,9.3,16.5,45.375
21.3,24.9,14.7,1013.0,63.0,14.0,8.9,16.5,65.16666666666667
21.7,25.4,18.8,1011.1,64.0,17.2,10.0,18.3,66.08333333333333
22.7,27.7,18.7,1009.7,61.0,23.5,8.3,16.5,77.66666666666667
24.3,29.1,19.3,1010.7,65.0,15.1,9.1,18.3,70.25
21.3,22.5,20.6,1013.6,93.0,2.6,10.7,16.5,56.29166666666666
24.5,27.0,20.5,1013.0,84.0,9.5,6.3,11.1,77.0
25.4,29.9,21.6,1009.0,79.0,12.1,11.1,16.5,32.958333333333336
25.6,28.0,22.2,999.8,79.0,13.5,14.8,35.2,80.625
21.8,24.0,20.8,1006.5,87.0,17.9,10.0,16.5,90.70833333333331
21.4,24.0,19.0,1005.9,87.0,11.6,7.2,14.8,97.29166666666669
24.1,26.3,22.3,1009.3,76.0,8.4,8.3,18.3,50.708333333333336
20.8,23.7,19.1,1001.0,88.0,8.4,10.9,14.8,40.375
22.9,27.5,19.0,1006.6,62.0,24.3,10.4,18.3,49.41666666666666
23.7,26.1,22.1,1015.6,71.0,21.4,10.6,16.5,61.875
24.3,27.9,22.0,1013.1,64.0,21.4,13.5,18.3,0.0
24.5,27.4,22.3,1007.4,76.0,18.5,17.4,27.8,29.666666666666668
29.3,35.4,25.7,1012.2,73.0,17.5,9.4,20.6,49.125
29.3,35.3,25.7,1012.0,71.0,15.0,7.8,16.5,43.66666666666666
30.6,35.4,25.7,1007.9,67.0,15.0,9.1,14.8,29.83333333333333
30.6,34.4,27.7,1010.7,67.0,7.9,6.3,13.0,35.208333333333336
28.7,34.6,25.9,1010.2,71.0,8.5,8.9,16.5,37.625
27.2,35.1,22.0,1011.3,61.0,27.2,11.5,20.6,41.458333333333336
24.9,30.5,21.5,1010.7,65.0,24.3,9.4,18.3,38.583333333333336
23.8,28.3,21.2,1012.3,61.0,21.4,8.3,14.8,36.0
25.6,29.0,21.0,1011.4,67.0,18.5,8.7,16.5,70.58333333333333
27.2,29.3,24.1,1004.5,78.0,10.1,5.0,9.4,33.166666666666664
28.6,32.3,25.5,1004.3,75.0,12.9,10.6,18.3,38.25
26.7,33.1,22.6,1004.8,77.0,15.0,10.0,24.1,26.58333333333333
27.6,30.7,25.2,1003.9,77.0,7.7,9.6,18.3,15.416666666666666
26.6,32.1,23.1,1005.6,78.0,9.5,9.1,13.0,41.375
25.8,28.5,23.0,1009.6,70.0,17.2,8.1,14.8,25.541666666666668
27.2,30.2,23.5,1008.8,71.0,20.0,9.4,14.8,28.375
30.5,34.3,26.0,1005.9,63.0,18.5,9.1,24.1,50.333333333333336
30.4,33.9,27.3,1005.2,71.0,10.8,9.4,16.5,35.375
31.4,33.8,27.7,1004.8,74.0,8.2,9.3,22.2,31.916666666666668
30.2,34.0,26.2,1010.6,62.0,10.5,10.0,18.3,35.291666666666664
30.0,34.0,26.7,1011.7,61.0,12.9,9.6,16.5,26.83333333333333
30.2,33.8,26.5,1010.2,66.0,16.4,13.0,18.3,21.125
30.4,33.1,27.7,1007.7,66.0,22.9,15.9,20.6,35.708333333333336
30.1,33.3,27.4,1007.2,71.0,24.9,13.5,22.2,43.583333333333336
28.3,33.1,25.2,1009.1,79.0,9.0,8.1,14.8,46.04166666666666
25.0,27.0,23.1,1002.8,75.0,14.3,5.4,9.4,82.875
25.4,28.9,20.3,1003.1,69.0,20.9,10.6,20.6,64.91666666666667
26.4,30.1,20.3,1004.7,62.0,28.6,8.9,14.8,30.666666666666668
30.9,35.1,27.8,1005.6,68.0,22.9,15.6,27.8,34.416666666666664
29.3,35.5,25.9,1011.1,68.0,24.3,9.6,20.6,33.166666666666664
29.6,32.5,25.8,1012.0,70.0,20.8,13.0,20.6,30.625
28.8,32.9,25.0,1011.3,71.0,20.1,13.3,22.2,30.33333333333333
26.7,28.8,23.2,1015.6,76.0,14.6,8.5,13.0,0.0
24.0,28.4,21.8,1013.4,85.0,13.4,9.1,14.8,0.0
24.6,28.3,21.5,1015.1,68.0,20.8,8.3,13.0,0.0
28.3,31.4,25.5,1015.8,72.0,14.3,10.0,20.6,76.875
28.3,32.2,23.7,1012.0,75.0,14.6,10.0,16.5,83.45833333333333
27.4,29.2,23.5,1003.1,83.0,11.1,16.3,37.0,71.66666666666667
24.1,28.5,19.5,1019.9,57.0,26.4,7.6,11.1,69.70833333333333
25.4,29.3,20.2,1017.4,64.0,22.9,12.0,20.6,62.375
25.9,29.9,21.9,1015.5,68.0,14.3,8.1,16.5,24.875
23.7,24.6,21.7,1003.0,89.0,9.0,10.0,16.5,43.958333333333336
20.1,24.2,16.9,1009.9,58.0,27.5,12.4,18.3,41.5
19.5,24.2,15.7,1021.1,52.0,35.7,8.3,13.0,38.79166666666666
22.4,23.9,19.5,1011.3,87.0,10.5,9.1,13.0,30.33333333333333
24.0,26.4,21.0,1004.3,85.0,16.9,8.9,18.3,26.666666666666668
23.0,28.8,17.9,1013.9,67.0,17.2,11.9,16.5,29.0
24.3,26.7,20.6,1022.1,80.0,14.3,6.7,11.1,61.708333333333336
25.8,29.6,22.7,1016.3,73.0,22.9,15.6,20.6,60.54166666666666
25.8,28.8,23.1,1012.3,75.0,22.9,16.1,31.7,41.583333333333336
21.1,26.3,16.2,1020.2,35.0,37.2,13.0,22.2,80.04166666666667
21.1,25.6,16.0,1021.4,65.0,20.0,8.1,14.8,82.83333333333333
17.5,21.3,16.2,1001.8,89.0,4.7,18.7,50.0,95.25
16.1,18.8,14.4,1027.0,76.0,13.4,12.6,16.5,126.16666666666669
15.5,16.5,14.3,1015.4,91.0,9.8,10.9,22.2,136.70833333333334
19.1,21.7,15.2,1016.3,77.0,16.4,8.3,14.8,160.66666666666666
18.1,20.4,15.0,1003.6,92.0,5.6,11.3,22.2,245.66666666666663
14.7,17.9,13.4,1005.9,76.0,20.3,8.7,14.8,261.6666666666667
16.3,21.1,12.0,1019.3,48.0,31.4,11.7,22.2,272.4166666666667
17.7,21.5,13.8,1022.9,56.0,14.3,8.3,11.1,149.625
17.0,20.4,13.8,1025.6,56.0,12.9,8.7,16.5,99.70833333333331
15.8,17.0,15.3,1022.3,79.0,7.2,5.2,9.4,217.375
17.7,21.0,15.2,1015.0,72.0,7.7,4.4,9.4,309.375
14.4,17.8,12.6,1013.7,78.0,10.8,7.2,13.0,321.5416666666667
16.2,21.5,11.9,1024.9,46.0,25.7,10.4,16.5,278.0
13.4,17.4,11.8,1024.5,75.0,13.0,7.8,16.5,192.33333333333331
9.8,14.1,6.4,1020.4,43.0,37.2,9.6,20.6,224.16666666666663
11.8,14.5,6.2,1023.9,51.0,25.7,6.9,11.1,196.75
11.1,12.7,8.0,1017.6,72.0,12.2,9.3,18.3,221.54166666666663
12.2,17.4,8.2,1008.3,33.0,34.3,12.8,18.3,166.70833333333334
12.0,17.2,7.4,1010.6,41.0,34.3,10.0,20.6,130.70833333333334
11.9,16.3,7.3,1015.4,46.0,34.3,7.2,11.1,194.70833333333331
15.8,19.4,9.9,1006.2,71.0,12.1,14.1,33.5,134.45833333333334
13.7,19.1,9.9,1010.2,38.0,22.9,9.4,13.0,110.0
14.2,16.0,9.7,1010.0,50.0,28.6,15.6,24.1,160.0
10.7,15.0,5.1,1016.2,58.0,21.4,5.6,9.4,118.91666666666669
10.9,15.3,6.7,1016.0,58.0,17.9,5.9,13.0,176.375
12.3,16.3,7.3,1016.6,53.0,19.2,7.0,13.0,185.95833333333331
10.3,14.6,7.0,1016.1,47.0,28.6,7.8,13.0,239.125
8.4,11.2,5.3,1021.9,45.0,24.3,7.2,13.0,365.2916666666667
8.9,10.8,4.9,1012.4,49.0,16.4,4.8,9.4,312.2083333333333
9.6,14.9,4.1,1010.1,39.0,29.9,15.6,33.5,121.33333333333331
7.0,11.2,3.3,1013.6,48.0,35.7,5.9,11.1,202.875
7.8,11.4,2.8,1014.8,32.0,37.2,13.7,22.2,260.1666666666667
6.9,7.4,3.6,1009.6,90.0,7.1,13.7,20.6,277.7083333333333
5.1,9.4,2.9,1003.0,79.0,16.9,8.7,20.6,284.1666666666667
7.7,11.0,2.8,1010.5,56.0,22.9,8.0,13.0,288.4166666666667
6.7,10.3,3.3,1026.0,45.0,31.4,7.6,13.0,166.91666666666666
7.2,10.0,3.4,1010.5,66.0,12.7,6.3,14.8,169.0
6.1,9.4,3.1,1002.0,51.0,15.3,10.4,25.9,186.04166666666663
8.1,12.7,1.3,1008.7,49.0,24.3,6.9,13.0,nan
9.1,15.5,3.1,1005.9,48.0,24.9,8.9,20.6,255.875
7.3,12.1,3.1,1015.5,38.0,29.9,10.9,20.6,217.08333333333331
5.4,8.5,2.5,1012.9,50.0,20.0,5.0,9.4,229.16666666666663
6.1,9.5,1.9,1023.9,45.0,24.3,6.9,13.0,298.4583333333333
7.9,12.0,2.8,1009.3,71.0,6.6,9.1,16.5,264.9166666666667
5.7,11.8,1.4,1013.0,39.0,20.8,17.0,27.8,404.5
4.1,8.3,1.7,1023.3,29.0,35.7,14.3,20.6,188.5
4.3,7.7,1.7,1027.3,33.0,27.2,10.7,20.6,164.75
2.7,4.3,0.7,1024.9,48.0,21.4,6.5,14.8,376.9166666666667
3.9,7.1,1.2,1021.3,30.0,40.1,13.5,27.8,0.0
5.1,8.5,0.7,1013.9,47.0,22.9,6.3,9.4,0.0
6.5,11.8,1.8,1013.3,53.0,21.4,6.9,16.5,57.0
10.6,12.7,3.0,1013.3,57.0,10.3,8.1,25.9,202.91666666666663
6.3,14.5,1.6,1014.9,34.0,24.3,19.1,31.7,205.125
4.8,7.5,1.4,1023.0,40.0,32.8,8.9,16.5,214.125
8.8,15.9,4.3,1019.7,34.0,31.4,10.0,22.2,315.7916666666667
8.3,12.3,3.8,1019.0,57.0,17.2,6.5,9.4,322.25
10.1,13.0,6.1,1007.6,67.0,8.7,4.6,9.4,246.04166666666663
12.9,17.8,7.0,1002.3,71.0,8.9,11.1,18.3,200.91666666666663
3.7,7.2,-0.7,1020.2,44.0,19.5,11.5,18.3,99.5
0.8,4.0,-0.8,1008.2,86.0,3.2,19.8,29.4,143.91666666666666
5.9,9.2,0.7,1011.3,47.0,25.7,13.1,22.2,100.25
5.2,8.2,0.7,1026.1,48.0,17.4,9.4,16.5,165.0
0.8,2.3,0.0,1020.2,92.0,2.1,17.0,25.9,116.45833333333331
5.5,6.9,-0.2,1003.1,65.0,24.6,16.9,24.1,143.0
4.7,9.0,1.5,1020.5,37.0,24.3,12.0,24.1,231.125
5.1,7.4,1.4,1021.6,42.0,20.0,8.0,13.0,218.66666666666663
4.9,10.3,2.0,1023.5,33.0,26.4,14.1,20.6,211.0
8.9,12.9,3.4,1025.4,42.0,12.1,7.8,14.8,52.208333333333336
10.3,14.2,5.7,1028.8,53.0,9.5,9.8,18.3,187.5
10.7,13.9,7.1,1018.4,85.0,4.2,9.4,20.6,130.16666666666666
7.3,12.7,5.4,1016.7,86.0,5.6,8.3,14.8,123.125
5.2,7.2,4.4,1015.7,88.0,8.4,9.8,13.0,120.91666666666669
6.1,10.1,2.5,1025.8,42.0,19.3,10.4,14.8,153.625
4.6,9.2,1.8,1019.0,36.0,25.3,9.1,20.6,130.33333333333334
6.3,10.2,1.9,1017.2,35.0,22.9,10.0,16.5,110.70833333333331
6.6,9.9,3.1,1010.3,48.0,20.0,13.0,27.8,138.5
12.9,17.5,8.5,999.5,72.0,11.9,15.4,29.4,75.75
8.1,13.4,4.7,1010.2,41.0,21.4,14.8,25.9,146.54166666666666
8.4,12.0,4.5,1019.4,47.0,29.9,11.1,16.5,116.625
10.3,13.5,6.9,1018.0,53.0,17.2,9.3,14.8,80.04166666666667
8.4,10.9,6.7,998.4,74.0,10.8,11.9,25.9,100.04166666666669
8.9,14.5,5.0,1007.7,33.0,35.7,19.1,31.3,109.45833333333331
17.3,22.2,11.5,1014.2,40.0,15.0,8.0,18.3,110.16666666666669
16.1,19.4,13.0,1009.8,68.0,13.5,10.4,20.6,108.20833333333331
11.2,15.4,8.7,1015.5,77.0,13.8,8.5,18.3,103.83333333333331
14.8,20.1,11.0,1010.9,28.0,29.9,16.5,29.4,74.29166666666667
13.9,18.1,10.4,1020.0,38.0,20.0,10.7,24.1,101.79166666666669
15.8,19.6,10.0,1020.9,61.0,16.4,9.4,20.6,106.16666666666669
13.5,15.6,12.6,1007.9,94.0,4.0,7.2,14.8,89.875
12.6,16.5,6.3,1012.7,51.0,25.7,8.7,18.3,48.208333333333336
16.4,22.3,9.2,1014.2,41.0,13.5,7.0,14.8,47.04166666666666
15.8,20.4,11.3,1014.5,59.0,14.3,7.6,18.3,67.79166666666667
14.4,18.7,9.6,1017.7,37.0,20.0,10.6,20.6,56.66666666666666
14.2,17.6,10.7,1017.1,58.0,19.3,10.7,22.2,79.0
17.4,20.6,10.3,1012.2,45.0,20.0,12.8,24.1,123.58333333333331
11.1,17.9,7.2,1021.3,57.0,13.5,11.5,22.2,80.29166666666667
11.9,14.1,6.9,1022.1,70.0,14.5,7.2,14.8,137.875
14.3,17.5,10.0,1012.8,85.0,8.7,11.7,25.9,87.875
18.1,22.5,12.9,1025.2,51.0,14.3,11.3,20.6,121.20833333333331
18.3,23.9,14.1,1027.0,55.0,14.0,10.7,18.3,97.04166666666669
18.1,22.7,14.7,1022.7,51.0,21.4,15.2,24.1,92.08333333333331
20.7,24.5,17.6,1009.2,65.0,15.8,10.9,25.9,130.625
20.8,25.6,16.3,1011.2,59.0,20.0,10.0,20.6,90.5
20.6,25.6,15.1,1012.3,40.0,18.5,14.3,31.7,55.41666666666666
18.0,21.5,11.2,1017.9,56.0,18.5,12.4,20.6,108.33333333333331
19.1,21.5,16.0,1013.0,67.0,20.0,19.8,38.9,198.875
18.4,26.8,14.2,1010.7,50.0,27.8,12.4,25.9,120.70833333333331
19.8,22.2,16.5,1005.5,83.0,9.0,6.5,13.0,60.54166666666666
22.2,27.2,17.4,1002.7,63.0,11.9,13.9,22.2,79.0
19.7,21.9,18.4,994.9,64.0,22.2,8.9,16.5,133.70833333333334
21.5,25.7,17.4,1014.0,64.0,17.2,8.9,16.5,53.25
20.9,25.6,16.2,1008.5,67.0,13.4,12.0,18.3,65.16666666666667
17.3,20.9,14.7,997.9,81.0,17.5,10.6,25.9,83.58333333333333
22.5,27.3,19.5,1012.5,70.0,18.3,9.1,14.8,40.66666666666666
20.6,24.6,17.7,1006.4,76.0,16.3,19.1,35.2,48.125
22.2,26.5,17.7,1003.5,76.0,16.4,8.0,13.0,103.16666666666669
25.9,31.6,20.2,1011.5,53.0,10.8,9.1,16.5,143.375
26.6,33.1,21.0,1012.4,52.0,11.6,8.9,16.5,44.79166666666666
25.0,31.4,20.6,1014.2,59.0,9.5,8.3,14.8,71.95833333333333
24.4,28.9,20.4,1012.9,69.0,8.2,10.2,18.3,17.5
18.3,19.4,17.8,1006.0,94.0,5.0,12.2,16.5,101.0
21.3,23.7,17.8,1008.5,88.0,9.5,6.1,13.0,76.20833333333333
22.9,25.6,19.3,1012.8,82.0,10.0,7.8,20.6,84.33333333333333
24.9,30.3,20.1,998.9,60.0,24.3,9.6,16.5,48.833333333333336
24.4,29.4,20.1,1004.3,59.0,27.2,9.8,24.1,64.45833333333333
24.9,29.6,20.1,1005.0,56.0,25.7,10.0,18.3,80.54166666666667
25.0,28.5,21.4,1006.6,56.0,24.3,13.3,22.2,65.41666666666667
24.7,27.9,22.0,1009.7,68.0,18.5,11.3,22.2,54.66666666666666
24.3,27.7,21.9,1007.7,75.0,14.3,10.6,20.6,78.54166666666667
22.3,26.2,20.3,1011.4,80.0,8.2,6.7,14.8,49.125
24.4,28.2,20.3,1011.4,74.0,15.4,9.6,18.3,65.875
23.6,26.2,22.2,1008.2,82.0,12.7,9.1,13.0,72.41666666666667
25.5,29.6,21.0,1011.1,69.0,17.9,8.7,16.5,184.66666666666663
25.9,30.3,22.2,1010.0,67.0,17.2,9.8,18.3,113.33333333333331
23.9,27.5,20.8,1006.4,80.0,10.1,10.6,20.6,146.20833333333334
23.6,26.2,21.6,1007.4,89.0,8.5,6.1,16.5,112.29166666666669
27.2,31.5,21.6,1011.4,65.0,17.5,11.1,18.3,60.625
24.4,26.2,23.4,1008.2,90.0,7.2,9.1,18.3,71.0
28.1,32.9,24.9,1008.4,70.0,16.7,9.3,14.8,134.95833333333334
28.2,32.5,24.7,1012.7,68.0,14.5,8.9,16.5,81.125
23.7,26.3,21.7,1012.9,83.0,12.1,6.9,11.1,52.25
24.7,29.9,21.8,1011.0,80.0,12.1,7.2,13.0,160.375
25.7,28.8,22.5,1010.8,78.0,13.4,9.4,20.6,99.375
31.0,35.6,26.4,1011.8,65.0,10.8,8.7,22.2,31.45833333333333
30.7,34.6,27.9,1008.3,68.0,12.9,13.9,20.6,47.375
29.3,34.5,26.2,1004.6,65.0,17.9,9.6,18.3,38.16666666666666
29.7,33.9,26.1,1012.3,69.0,17.2,9.6,16.5,35.958333333333336
29.9,33.5,26.6,1010.5,69.0,16.4,10.2,20.6,25.08333333333333
31.2,35.3,27.0,1009.0,61.0,15.0,8.5,16.5,45.833333333333336
30.9,35.5,27.9,1007.9,61.0,24.3,11.9,18.3,33.708333333333336
28.3,30.9,26.9,1007.4,69.0,22.0,16.3,29.4,26.416666666666668
28.5,31.7,25.2,1009.8,70.0,15.8,9.3,14.8,30.666666666666668
24.3,27.8,22.2,1010.2,84.0,11.9,10.6,16.5,29.95833333333333
27.9,31.5,21.7,1010.4,74.0,13.7,7.4,13.0,23.875
27.2,30.1,25.8,1010.6,86.0,10.1,7.4,22.2,22.33333333333333
30.1,33.6,25.6,1006.7,70.0,24.3,18.7,29.4,25.08333333333333
30.7,34.7,26.5,1012.9,68.0,22.9,10.0,18.3,66.79166666666667
30.9,34.5,27.7,1012.3,69.0,18.5,8.3,16.5,64.875
30.6,34.1,27.5,1011.7,71.0,20.8,8.9,20.6,47.583333333333336
26.7,28.9,25.0,1009.7,74.0,13.2,7.0,11.1,33.5
23.7,26.9,20.4,1010.3,83.0,9.2,11.3,16.5,43.04166666666666
20.7,23.4,19.7,1015.5,89.0,7.7,8.1,13.0,38.41666666666666
23.3,25.7,21.3,1014.8,80.0,18.5,7.8,11.1,49.29166666666666
21.3,23.8,20.1,1014.1,90.0,11.3,9.3,13.0,19.541666666666668
25.1,29.8,20.0,1014.9,69.0,24.3,8.9,18.3,22.83333333333333
24.2,27.3,22.0,1015.3,71.0,18.5,8.9,20.6,24.291666666666668
21.1,24.4,19.7,1008.4,84.0,14.6,5.6,13.0,74.66666666666667
21.9,24.4,19.6,1006.2,84.0,7.7,8.7,16.5,41.875
24.1,28.1,20.1,1007.1,67.0,20.0,9.4,14.8,50.583333333333336
22.9,27.3,20.1,1011.5,67.0,20.0,10.0,16.5,58.125
24.3,28.7,19.7,1013.4,60.0,25.7,7.8,14.8,57.29166666666666
24.0,26.0,21.5,1012.5,68.0,18.5,8.0,13.0,38.25
22.2,25.6,18.4,1012.7,49.0,22.2,8.0,14.8,47.41666666666666
19.7,22.3,16.4,1015.2,67.0,20.0,8.3,11.1,56.91666666666666
22.1,26.7,16.4,1017.1,59.0,19.3,8.0,14.8,54.625
23.9,28.5,21.0,1006.1,77.0,12.9,10.9,24.1,45.958333333333336
21.8,28.1,17.4,1018.3,60.0,22.2,12.4,18.3,52.25
20.2,23.5,17.4,1018.1,65.0,20.0,12.4,18.3,43.333333333333336
20.2,24.6,19.7,1017.2,78.0,12.1,8.1,13.0,41.958333333333336
22.7,24.9,19.5,1011.3,78.0,11.6,10.9,22.2,0.0
25.8,29.8,21.7,1006.9,68.0,20.0,10.4,20.6,0.0
19.8,24.0,17.1,1020.1,61.0,26.4,8.1,13.0,45.75
20.6,24.4,16.8,1022.5,65.0,17.9,7.4,13.0,70.70833333333333
21.3,24.0,17.9,1021.9,67.0,20.0,8.7,18.3,51.79166666666666
20.3,24.2,16.0,998.2,86.0,8.2,14.3,33.5,0.0
21.2,27.1,16.7,1007.0,46.0,38.6,16.7,27.8,11.583333333333334
14.7,19.1,13.5,1018.7,75.0,14.3,10.0,14.8,13.0
19.1,23.0,13.5,1026.9,60.0,18.5,8.3,16.5,156.25
19.3,24.1,15.8,1021.9,72.0,12.7,7.4,14.8,156.0
19.5,21.3,16.4,1013.5,85.0,10.9,8.9,20.6,151.79166666666666
19.3,22.7,12.9,1022.6,70.0,10.5,7.6,14.8,252.625
20.3,23.9,16.3,1016.4,78.0,12.6,7.0,13.0,119.41666666666669
18.1,22.9,13.9,1012.4,51.0,18.3,15.2,25.9,126.0
18.7,20.8,15.3,1022.2,69.0,12.1,5.6,9.4,232.33333333333331
16.2,18.6,15.5,1013.1,91.0,6.9,7.0,13.0,215.54166666666663
20.2,22.4,15.4,1001.2,73.0,15.4,10.9,18.3,239.41666666666663
16.5,21.6,12.8,1010.3,40.0,37.2,11.7,18.3,196.54166666666663
16.4,21.1,13.1,1023.1,41.0,24.9,12.0,22.2,232.54166666666663
14.6,15.3,12.9,1026.0,57.0,12.9,7.8,13.0,185.5
14.8,17.6,12.9,1018.3,82.0,9.0,6.9,13.0,282.1666666666667
14.2,20.9,9.3,1009.6,35.0,37.2,10.6,18.3,257.6666666666667
12.8,16.8,8.7,1016.1,45.0,34.3,9.3,14.8,166.875
12.6,17.5,8.4,1021.9,40.0,32.8,9.6,16.5,135.16666666666666
11.3,15.9,7.2,1025.0,43.0,38.6,9.8,24.1,211.45833333333331
